content,label
签证办好了吗？,0
周末有什么安排？,0
您的EPF公积金账户有RM20000待领取，请登录领取：http://kwsp-fake.com/claim,1
我是你公司同事，老板让我找你拿银行账户信息，请发给我,1
你的微信支付账户被冻结，请点击链接解冻：http://wechat-fake.com,1
恭喜你中奖了！获得iPhone 15 Pro，请支付RM500手续费,1
元宵节快乐！,0
景点值得去吗？,0
健身房新开了一家,0
投资理财，日收益5%，最低投资RM100，稳赚不赔：http://invest-fake.com,1
你好，我是新来的,0
面试怎么样？,0
有空聊聊,0
你还好吗？,0
检查报告出来了吗？,0
恭喜！您获得优惠券，请点击领取：http://coupon-fake.com,1
您的旅行保险获得免费升级，请确认接受,1
请问这个尺寸有货吗,0
保险买了吗？,0
UTeM通知：您的奖学金申请已批准，请支付RM500手续费领取,1
你好，我是联合国工作人员，想资助你的学业，请联系我,1
简历投了吗？,0
恭喜！您的手机号码获得免费旅游奖励，请确认领取,1
你的网络有问题吗？我提供专业调试服务,1
考试范围是什么？,0
有晋升机会吗？,0
旅行愉快,0
你好，我是慈善基金会的，想请你支持教育事业,1
你的手机需要维修吗？我提供上门服务，保证满意,1
最近身体怎么样？,0
奶茶很好喝,0
您的Telegram账户被盗，请点击链接冻结：http://tg-freeze.com,1
中秋节快乐！,0
年终奖发了吗？,0
恭喜您获得RM10000奖励，请点击链接领取：http://fake-reward.com,1
好久没联系了,0
孩子学习成绩怎么样？,0
行李收拾好了吗？,0
Portal rasmi LHDN di https://www.lhdn.gov.my,0
紧急通知：您的Maybank账户存在异常交易，请立即验证身份：http://maybank-fake.com/verify,1
生日快乐！祝你天天开心！,0
房租交了吗？,0
我会帮助你的,0
家里一切都好吗？,0
您的社交媒体账户存在异常登录，请验证身份：http://social-verify.com,1
请点击此链接确认您的账户信息：http://phishing-link.com,1
外面下雨了，记得带伞,0
您的Shopee订单出现异常，请点击链接确认：http://shopee-fake.com,1
Pos Malaysia：您的挂号信需要签收，请支付RM15处理费：http://pos-fake.com,1
您的信用卡被盗刷RM8888，请立即联系银行冻结：http://card-freeze.com,1
分享一下你的近况,0
医生怎么说？,0
好久不见，最近怎么样？,0
J&T Express通知：您的包裹无法派送，请更新地址：http://jnt-fake.com/update,1
兼职打字员，1000字30块，不用交押金，每天结账。加微信/WhatsApp：xxxxx,1
谢谢你的帮助,0
你的WhatsApp账号异常，请验证身份：http://whatsapp-fake.com,1
业绩达标了吗？,0
储蓄目标,0
爸妈身体好吗？,0
有空一起吃饭,0
早餐吃什么？,0
文件发给我,0
孩子生日快乐！,0
需要复诊吗？,0
推荐一道菜,0
您的毕业证书需要认证，请支付RM300认证费,1
手机没电了，充一下,0
您的手机号码将被停用，请立即充值保持活跃,1
您的账户需要更新，请登录验证：http://fake-login.com,1
Semak status PTPTN anda di https://www.ptptn.gov.my,0
密码改了吗？,0
客户签了吗？,0
您的房屋保险需要更新，请点击链接完成：http://insurance-fake.com,1
论文 deadline 是什么时候？,0
Meeting FYP via Google Meet: https://meet.google.com/abc-defg-hij,0
我是马来西亚华侨，想捐款给慈善机构，请提供银行账户,1
税务局通知：您的税务申报存在问题，请联系官员处理,1
股票内幕消息，保证盈利，加入VIP群获取：http://stock-fake.com,1
外卖到了,0
展览好看吗？,0
您的大学录取通知书已发出，请支付RM1000注册费,1
LHDN通知：您有未缴税款RM5000，请立即支付,1
您的贷款申请已批准，RM50000已到账，请确认收款：http://loan-fake.com,1
Shopee 有优惠券,0
链接打不开,0
晚餐准备好了,0
你好，我是宗教团体的，想邀请你参加慈善活动,1
你是群主吗？我有重要事情告诉你，请私聊,1
投资理财，日收益5%，稳赚不赔：http://invest-fake.com,1
您的Touch n Go电子钱包获得RM1000奖励，请点击链接激活：http://tng-fake.com/activate,1
请确认收货地址,0
您的邮箱存储空间已满，请升级套餐：http://upgrade-fake.com,1
可以退换吗？,0
您的电脑感染了病毒，请立即下载杀毒软件：http://antivirus-fake.com,1
您的Windows系统即将过期，请立即激活：http://activate-fake.com,1
请问这个公式怎么理解？,0
教育部通知：您获得免费留学名额，请立即确认,1
旅游攻略准备好了吗？,0
您的车辆保险即将到期，请立即续保以免出事无法理赔,1
您的Google账户已被他人登录，请立即更改密码：http://google-fake.com,1
您被选为幸运观众，获得现金奖励RM100000，请联系领奖,1
注意安全,0
同学你好，明天的课在哪个教室？,0
您的iCloud账户存在安全风险，请立即更新密码,1
今天天气真好,0
DHL通知：您的国际包裹需要清关，请支付RM200关税：http://dhl-fake.com,1
项目进度如何？,0
你好，我是香港商人，想在马来西亚开分公司，需要合作伙伴,1
你好，我是中国商会的，想邀请你参加商业活动,1
